,Unnamed: 0,issue_num,type,state,Original Text,Processed Text,Full Length,len,aa,begauth,has_code,first_turn,last_turn,created_at,clen,tlen,cloc,tloc,tpos1,tpos2,ppau,npau,Code
10,10,5725,comment,closed,"Mehra <notifications@github.com> 写道：
> 
>","Mehra <notifications@github.com> 写道：
> 
>",41,41,3,1,0,0,0,1557513269.0,0.25,0.1621621621621621,0.5,0.5,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Social Conversation
11,11,5725,comment,closed,"I am not sure if I understood your question correctly.
>","I am not sure if I understood your question correctly.
>",56,56,3,1,0,0,0,1557513269.0,0.4583333333333333,0.2972972972972973,0.6,0.5454545454545454,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Motivation
12,12,5725,comment,closed,"If you are asking about replacing openjdk with openj9 in an existing docker image, I don't think it is possible to do.","If you are asking about replacing openjdk with openj9 in an existing docker image, I don't think it is possible to do.",118,118,3,1,0,0,0,1557513269.0,0.9166666666666666,0.5945945945945946,0.7,0.5909090909090909,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Motivation
13,13,5725,comment,closed,"But you can always bind mount openj9 from the host into docker container, and probably update entry point of the image to use openj9.","But you can always bind mount openj9 from the host into docker container, and probably update entry point of the image to use openj9.",133,133,3,1,0,0,0,1557513269.0,1.0,0.6486486486486487,0.8,0.6363636363636364,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Expected Behaviour
14,14,5725,comment,closed,"—
 You are receiving this because you authored the thread.","—
 You are receiving this because you authored the thread.",58,58,3,1,0,0,0,1557513269.0,0.4583333333333333,0.2972972972972973,0.9,0.6818181818181818,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Potential New Issues and Requests
15,15,5725,comment,closed,"Reply to this email directly, view it on GitHub, or mute the thread.","Reply to this email directly, view it on GitHub, or mute the thread.",68,68,3,1,0,0,0,1557513269.0,0.5416666666666666,0.3513513513513513,1.0,0.7272727272727273,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Potential New Issues and Requests
16,16,5725,comment,closed,The AdoptOpenJDK project makes OpenJ9 docker images available: https://hub.docker.com/r/adoptopenjdk/openjdk8-openj9,The AdoptOpenJDK project makes OpenJ9 docker images available: https://hub.docker.com/r/adoptopenjdk/openjdk8-openj9,116,116,2,0,0,0,0,1557515525.0,0.2432432432432432,0.2432432432432432,0.2,0.7727272727272727,0.2097365154366716,0.7902634845633284,0.0285783053166288,1.0,Investigation and Exploration
17,17,5725,comment,closed,"In addition to the ones for Java 8, there are also docker files for Java 11 & 12.","In addition to the ones for Java 8, there are also docker files for Java 11 & 12.",81,81,2,0,0,0,0,1557515525.0,0.4594594594594595,0.4594594594594595,0.4,0.8181818181818182,0.2097365154366716,0.7902634845633284,0.0285783053166288,1.0,Solution Discussion
18,18,5725,comment,closed,"These come various sizes (jdk, jre, alpine, etc)","These come various sizes (jdk, jre, alpine, etc)",48,48,2,0,0,0,0,1557515525.0,0.2162162162162162,0.2162162162162162,0.6,0.8636363636363636,0.2097365154366716,0.7902634845633284,0.0285783053166288,1.0,Social Conversation
19,19,5725,comment,closed,"For example, the Java 8 image can be pulled using this command:
CODE

You can also base your docker file on the on the OpenJ9 version by setting the FROM line in your docker file:","For example, the Java 8 image can be pulled using this command:
CODE

You can also base your docker file on the on the OpenJ9 version by setting the FROM line in your docker file:",182,182,2,0,1,0,0,1557515525.0,1.0,1.0,0.8,0.9090909090909092,0.2097365154366716,0.7902634845633284,0.0285783053166288,1.0,Solution Discussion
20,20,5725,comment,closed,CODE,CODE,4,4,2,0,1,0,0,1557515525.0,0.027027027027027,0.027027027027027,1.0,0.9545454545454546,0.2097365154366716,0.7902634845633284,0.0285783053166288,1.0,Action on Issue
21,21,5725,comment,closed,"hi, i  have use docker bind command ,but docker status memory not lower","hi, i  have use docker bind command ,but docker status memory not lower",71,71,3,1,0,0,1,1557594466.0,1.0,0.3783783783783784,1.0,1.0,1.0,0.0,1.0,0.0,Action on Issue
22,22,3969,title,closed,"System Property ""os.version"" shows unexpected version for macOS","System Property ""os.version"" shows unexpected version for macOS",63,63,3,1,0,1,0,1544394072.0,0.1739130434782608,0.1739130434782608,0.2,0.0769230769230769,0.0,1.0,0.0,0.1272008558632069,Social Conversation
23,23,3969,body,closed,I'm using the macOS version of JDK 11.0.1 obtained form adoptopenjdk:,I'm using the macOS version of JDK 11.0.1 obtained form adoptopenjdk:,69,69,3,1,0,1,0,1544394072.0,0.2391304347826087,0.2391304347826087,0.4,0.1538461538461538,0.0,1.0,0.0,0.1272008558632069,Solution Discussion
24,24,3969,body,closed,"CODE

The System Property CODE is set to CODE, though I would have expected CODE (this is shown both by ""About my Mac"" and the Hotspot VM)

    $ java -XshowSettings:properties --version 2>&1 | grep -E ""(java|os).(version|vendor) ""
    java.vendor = Eclipse OpenJ9
    java.version = 11.0.1
    os.version","CODE

The System Property CODE is set to CODE, though I would have expected CODE (this is shown both by ""About my Mac"" and the Hotspot VM)

    $ java -XshowSettings:properties --version 2>&1 | grep -E ""(java|os).(version|vendor) ""
    java.vendor = Eclipse OpenJ9
    java.version = 11.0.1
    os.version",312,312,3,1,1,1,0,1544394072.0,1.0,1.0,0.6,0.2307692307692307,0.0,1.0,0.0,0.1272008558632069,Motivation
25,25,3969,body,closed,= 18.2.0,= 18.2.0,8,8,3,1,0,1,0,1544394072.0,0.0217391304347826,0.0217391304347826,0.8,0.3076923076923077,0.0,1.0,0.0,0.1272008558632069,Solution Discussion
26,26,3969,body,closed,"Here's the output of Java 11 with the Hotspot VM, showing the expected version CODE

    $ java -XshowSettings:properties --version 2>&1 | grep -E ""(java|os).(version|vendor) ""
    java.vendor = Oracle Corporation
    java.version = 11
    os.version = 10.14.1","Here's the output of Java 11 with the Hotspot VM, showing the expected version CODE

    $ java -XshowSettings:properties --version 2>&1 | grep -E ""(java|os).(version|vendor) ""
    java.vendor = Oracle Corporation
    java.version = 11
    os.version = 10.14.1",265,265,3,1,1,1,0,1544394072.0,0.7391304347826086,0.7391304347826086,1.0,0.3846153846153846,0.0,1.0,0.0,0.1272008558632069,Potential New Issues and Requests
27,27,3969,comment,closed,@pdbain-ibm FYI.,@pdbain-ibm FYI.,16,16,1,0,0,0,0,1544415117.0,1.0,0.0652173913043478,1.0,0.4615384615384615,0.0576190163288103,0.9423809836711896,0.1272008558632069,0.4250001511057922,Social Conversation
28,28,3969,comment,closed,Looking at this.,Looking at this.,16,16,1,0,0,0,0,1544485432.0,0.1363636363636363,0.0652173913043478,0.5,0.5384615384615384,0.2501341568923788,0.7498658431076212,0.4250001511057922,0.0034814774519936,Social Conversation
29,29,3969,comment,closed,"The OS version comes from OMR via a call to CODE, which returns the kernel information:
version=CODE
release=CODE","The OS version comes from OMR via a call to CODE, which returns the kernel information:
version=CODE
release=CODE",115,115,1,0,1,0,0,1544485432.0,1.0,0.4782608695652174,1.0,0.6153846153846154,0.2501341568923788,0.7498658431076212,0.4250001511057922,0.0034814774519936,Potential New Issues and Requests
30,30,3969,comment,closed,We should use CODE on CODE in CODE.,We should use CODE on CODE in CODE.,35,35,1,0,1,0,0,1544486008.0,0.8888888888888888,0.1739130434782608,0.5,0.6923076923076923,0.2517111848517703,0.7482888151482296,0.0034814774519936,1.0,Solution Discussion
31,31,3969,comment,closed,"This is similar to the code for 
CODE.","This is similar to the code for 
CODE.",39,39,1,0,1,0,0,1544486008.0,1.0,0.1956521739130435,1.0,0.7692307692307693,0.2517111848517703,0.7482888151482296,0.0034814774519936,1.0,Solution Discussion
32,32,3969,comment,closed,OMR pull request opened: https://github.com/eclipse/omr/pull/3327.,OMR pull request opened: https://github.com/eclipse/omr/pull/3327.,66,66,1,0,0,0,0,1544651455.0,1.0,0.108695652173913,1.0,0.8461538461538461,0.7046878251251218,0.2953121748748781,1.0,0.0304750161683197,Action on Issue
33,33,3969,comment,closed,"Great, thx!","Great, thx!",11,11,3,1,0,0,0,1544656497.0,1.0,0.0434782608695652,1.0,0.9230769230769232,0.7184922955613234,0.2815077044386766,0.0304750161683197,0.6214618578759361,Social Conversation
34,34,3969,comment,closed,Closing as OMR fix has been merged.,Closing as OMR fix has been merged.,35,35,2,0,0,0,1,1544759316.0,1.0,0.1521739130434782,1.0,1.0,1.0,0.0,0.6214618578759361,0.0,Social Conversation
35,35,4737,title,closed,JTReg test fail - Windows : com/sun/net/httpserver/Test13.java,JTReg test fail - Windows : com/sun/net/httpserver/Test13.java,62,62,1,1,0,1,0,1550177740.0,0.8181818181818182,0.3333333333333333,0.2,0.0909090909090909,0.0,1.0,0.0,1.0,Solution Discussion
36,36,4737,body,closed,"Intermittent coredump ...

CODE

... observed with test https://github.com/ibmruntimes/openj9-openjdk-jdk11/blob/openj9/test/jdk/com/sun/net/httpserver/Test13.java on Windows.","Intermittent coredump ...

CODE

... observed with test https://github.com/ibmruntimes/openj9-openjdk-jdk11/blob/openj9/test/jdk/com/sun/net/httpserver/Test13.java on Windows.",179,179,1,1,1,1,0,1550177740.0,1.0,0.4074074074074074,0.4,0.1818181818181818,0.0,1.0,0.0,1.0,Solution Discussion
37,37,4737,body,closed,See [consoleText.txt](https://github.com/eclipse/openj9/files/2864841/consoleText.txt),See [consoleText.txt](https://github.com/eclipse/openj9/files/2864841/consoleText.txt),86,86,1,1,0,1,0,1550177740.0,0.5454545454545454,0.2222222222222222,0.6,0.2727272727272727,0.0,1.0,0.0,1.0,Solution Discussion
38,38,4737,body,closed,Unfortunately an internal 100x run didn't produce a failure.,Unfortunately an internal 100x run didn't produce a failure.,60,60,1,1,0,1,0,1550177740.0,0.8181818181818182,0.3333333333333333,0.8,0.3636363636363636,0.0,1.0,0.0,1.0,Solution Discussion
39,39,4737,body,closed,Attempting an internal 300x run now.,Attempting an internal 300x run now.,36,36,1,1,0,1,0,1550177740.0,0.5454545454545454,0.2222222222222222,1.0,0.4545454545454545,0.0,1.0,0.0,1.0,Social Conversation
40,40,4737,comment,closed,300x run showed 3 core dump events - 2 of those look to be a result of access problems to temporary files and the remaining one does not.,300x run showed 3 core dump events - 2 of those look to be a result of access problems to temporary files and the remaining one does not.,137,137,1,1,0,0,0,1550251510.0,1.0,1.0,0.5,0.5454545454545454,0.8259623351322302,0.1740376648677699,1.0,0.2107089602819574,Task Progress
41,41,4737,comment,closed,See [consoleText.txt](https://github.com/eclipse/openj9/files/2868831/consoleText.txt).,See [consoleText.txt](https://github.com/eclipse/openj9/files/2868831/consoleText.txt).,87,87,1,1,0,0,0,1550251510.0,0.2222222222222222,0.2222222222222222,1.0,0.6363636363636364,0.8259623351322302,0.1740376648677699,1.0,0.2107089602819574,Action on Issue
42,42,4737,comment,closed,Coredump files obtained from 100x run archiving workspace - https://ibm.box.com/s/mvc6uh5sap70lek86rx3iisqoqayjfrd - see,Coredump files obtained from 100x run archiving workspace - https://ibm.box.com/s/mvc6uh5sap70lek86rx3iisqoqayjfrd - see,120,120,1,1,0,0,1,1550267054.0,0.5555555555555556,0.3703703703703703,0.25,0.7272727272727273,1.0,0.0,0.2107089602819574,0.0,Investigation and Exploration
43,43,4737,comment,closed,[consoleText.txt](https://github.com/eclipse/openj9/files/2869617/consoleText.txt).,[consoleText.txt](https://github.com/eclipse/openj9/files/2869617/consoleText.txt).,83,83,1,1,0,0,1,1550267054.0,0.2777777777777778,0.1851851851851851,0.5,0.8181818181818182,1.0,0.0,0.2107089602819574,0.0,Solution Discussion
44,44,4737,comment,closed,"This run had 2 core dump events, neither of which seem to be related to temporary file access.","This run had 2 core dump events, neither of which seem to be related to temporary file access.",94,94,1,1,0,0,1,1550267054.0,1.0,0.6666666666666666,0.75,0.9090909090909092,1.0,0.0,0.2107089602819574,0.0,Solution Discussion
45,45,4737,comment,closed,Looks like there are a couple of different core dumping triggers this test is identifying.,Looks like there are a couple of different core dumping triggers this test is identifying.,90,90,1,1,0,0,1,1550267054.0,0.8333333333333334,0.5555555555555556,1.0,1.0,1.0,0.0,0.2107089602819574,0.0,Action on Issue
46,46,16388,title,open,abbs.5mins.Mode113 blocked on TR::CompilationInfo::compileOnSeparateThread waiting on JIT-QueueSlotMonitor,abbs.5mins.Mode113 blocked on TR::CompilationInfo::compileOnSeparateThread waiting on JIT-QueueSlotMonitor,106,106,1,1,0,1,0,1669808892.0,0.6,0.5,0.1666666666666666,0.1111111111111111,0.0,1.0,0.0,2.7956153568742783e-05,Motivation
47,47,16388,body,open,[Internal test](http://vmfarm.rtp.raleigh.ibm.com/job_output.php?id=48330421),[Internal test](http://vmfarm.rtp.raleigh.ibm.com/job_output.php?id=48330421),77,77,1,1,0,1,0,1669808892.0,0.2,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.0,1.0,0.0,2.7956153568742783e-05,Solution Discussion
48,48,16388,body,open,[Win64 Hammer] 80 Load_Level_2.abbs.5mins.,[Win64 Hammer] 80 Load_Level_2.abbs.5mins.,42,42,1,1,0,1,0,1669808892.0,0.2666666666666666,0.2222222222222222,0.5,0.3333333333333333,0.0,1.0,0.0,2.7956153568742783e-05,Social Conversation
49,49,16388,body,open,"Mode113 - win10x64rtp1-6
CODE

30x grinder passed.","Mode113 - win10x64rtp1-6
CODE

30x grinder passed.",53,53,1,1,1,1,0,1669808892.0,0.6,0.5,0.6666666666666666,0.4444444444444444,0.0,1.0,0.0,2.7956153568742783e-05,Solution Discussion
50,50,16388,body,open,"Threads are blocked on the thread below, which seems to be blocked on the JIT.","Threads are blocked on the thread below, which seems to be blocked on the JIT.",78,78,1,1,0,1,0,1669808892.0,1.0,0.8333333333333334,0.8333333333333334,0.5555555555555556,0.0,1.0,0.0,2.7956153568742783e-05,Solution Discussion
51,51,16388,body,open,"This seems likely a dup of https://github.com/eclipse-openj9/openj9/issues/16353
CODE

CODE","This seems likely a dup of https://github.com/eclipse-openj9/openj9/issues/16353
CODE

CODE",94,94,1,1,1,1,0,1669808892.0,0.7333333333333333,0.6111111111111112,1.0,0.6666666666666666,0.0,1.0,0.0,2.7956153568742783e-05,Solution Discussion
52,52,16388,comment,open,@0xdaryl @knn-k fyi,@0xdaryl @knn-k fyi,19,19,1,1,0,0,0,1669808912.0,1.0,0.2222222222222222,1.0,0.7777777777777778,2.6382787869194137e-05,0.9999736172121308,2.7956153568742783e-05,0.0596081106392733,Social Conversation
53,53,16388,comment,open,"This looks a lot like https://github.com/eclipse-openj9/openj9/issues/16353, which I've just set as a blocker for 0.36.","This looks a lot like https://github.com/eclipse-openj9/openj9/issues/16353, which I've just set as a blocker for 0.36.",119,119,1,1,0,0,0,1669851556.0,1.0,0.8888888888888888,1.0,0.8888888888888888,0.0562797630825649,0.9437202369174352,0.0596081106392733,1.0,Solution Discussion
54,54,16388,comment,open,"Now this issue looks independent of #16353, which seems to be related to CODE on AArch64 and Power.","Now this issue looks independent of #16353, which seems to be related to CODE on AArch64 and Power.",99,99,1,0,1,0,1,1670566962.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,Action on Issue
55,55,14796,title,open,jdmpview's info thread * on an AIX core dump shows potentially excessive ObjectMonitor_V2 memory usage/OOM,jdmpview's info thread * on an AIX core dump shows potentially excessive ObjectMonitor_V2 memory usage/OOM,106,106,1,1,0,1,0,1648511779.0,0.2884615384615384,0.2884615384615384,0.2,0.0833333333333333,0.0,1.0,0.0,0.0009823673034176,Solution Discussion
56,56,14796,body,open,"Java -version output
--------------------

Output from CODE:","Java -version output
--------------------

Output from CODE:",63,63,1,1,1,1,0,1648511779.0,0.173076923076923,0.173076923076923,0.4,0.1666666666666666,0.0,1.0,0.0,0.0009823673034176,Solution Discussion
57,57,14796,body,open,"* core dump: CODE
* jdmpview:
  CODE

Summary of problem
------------------","* core dump: CODE
* jdmpview:
  CODE

Summary of problem
------------------",80,80,1,1,1,1,0,1648511779.0,0.25,0.25,0.6,0.25,0.0,1.0,0.0,0.0009823673034176,Solution Discussion
58,58,14796,body,open,"In the following example, CODE is started with CODE and the resulting OOM heapdump shows 4.4GB retained by CODE:

CODE

The resulting CODE of CODE shows the class CODE retaining 4.4GB of heap and two fields of types CODE and CODE retaining about 31 million instances of CODE:","In the following example, CODE is started with CODE and the resulting OOM heapdump shows 4.4GB retained by CODE:

CODE

The resulting CODE of CODE shows the class CODE retaining 4.4GB of heap and two fields of types CODE and CODE retaining about 31 million instances of CODE:",279,279,1,1,1,1,0,1648511779.0,1.0,1.0,0.8,0.3333333333333333,0.0,1.0,0.0,0.0009823673034176,Solution Discussion
59,59,14796,body,open,"CODE

The OOM stack trace is:

CODE

Similar symptoms are experienced when running MAT with CODE and the OOM stack is also related to processing monitors:

CODE

Diagnostic files
----------------

CODE

@keithc-ca FYI","CODE

The OOM stack trace is:

CODE

Similar symptoms are experienced when running MAT with CODE and the OOM stack is also related to processing monitors:

CODE

Diagnostic files
----------------

CODE

@keithc-ca FYI",232,232,1,1,1,1,0,1648511779.0,0.8076923076923077,0.8076923076923077,1.0,0.4166666666666667,0.0,1.0,0.0,0.0009823673034176,Solution Discussion
60,60,14796,comment,open,"also, when first open, the pid was not found.","also, when first open, the pid was not found.",45,45,3,0,0,0,0,1648512704.0,1.0,0.173076923076923,1.0,0.5,0.0009686553597533,0.9990313446402468,0.0009823673034176,0.0131732800341545,Potential New Issues and Requests
61,61,14796,comment,open,"Same OutOfMemoryError after doubling the heap with CODE and the resulting heapdump shows additional growth in the same places:

CODE","Same OutOfMemoryError after doubling the heap with CODE and the resulting heapdump shows additional growth in the same places:

CODE",134,134,1,1,1,0,0,1648525108.0,1.0,0.4038461538461538,1.0,0.5833333333333334,0.0139580619353001,0.9860419380647,0.0131732800341545,1.0,Potential New Issues and Requests
62,62,14796,comment,open,I tried to write a test program to cause a large number of 'FlatLock' monitors to be created.,I tried to write a test program to cause a large number of 'FlatLock' monitors to be created.,93,93,1,0,0,0,1,1649466711.0,0.6666666666666666,0.3461538461538461,0.2,0.6666666666666666,1.0,0.0,1.0,0.0,Investigation and Exploration
63,63,14796,comment,open,"Unless the objects remain locked, the monitors seem to disappear (as part of the garbage collector's behavior (?)).","Unless the objects remain locked, the monitors seem to disappear (as part of the garbage collector's behavior (?)).",115,115,1,0,0,0,1,1649466711.0,0.6296296296296297,0.3269230769230769,0.4,0.75,1.0,0.0,1.0,0.0,Investigation and Exploration
64,64,14796,comment,open,This leads me to my belief that the heap is somehow corrupted such that one or more objects have zero (or negative) sizes while simultaneously being locked.,This leads me to my belief that the heap is somehow corrupted such that one or more objects have zero (or negative) sizes while simultaneously being locked.,156,156,1,0,0,0,1,1649466711.0,1.0,0.5192307692307693,0.6,0.8333333333333334,1.0,0.0,1.0,0.0,Solution Discussion
65,65,14796,comment,open,"The non-positive size means traversing the heap stalls, adding the same monitors repeatedly (without bound).","The non-positive size means traversing the heap stalls, adding the same monitors repeatedly (without bound).",108,108,1,0,0,0,1,1649466711.0,0.5925925925925926,0.3076923076923077,0.8,0.9166666666666666,1.0,0.0,1.0,0.0,Solution Discussion
66,66,14796,comment,open,I plan to add checking for reasonable object sizes to the heap traversal code.,I plan to add checking for reasonable object sizes to the heap traversal code.,78,78,1,0,0,0,1,1649466711.0,0.5185185185185185,0.2692307692307692,1.0,1.0,1.0,0.0,1.0,0.0,Solution Discussion
67,67,11218,title,open,jdk11 aarch64: testSCCacheManagement_0 hang/deadlock ?,jdk11 aarch64: testSCCacheManagement_0 hang/deadlock ?,54,54,1,1,0,1,0,1605714410.0,0.625,0.3125,0.5,0.125,0.0,1.0,0.0,4.921689213223237e-05,Social Conversation
68,68,11218,body,open,"Failure link
------------

https://ci.adoptopenjdk.net/job/Test_openjdk11_j9_extended.functional_aarch64_linux/37/console

CODE","Failure link
------------

https://ci.adoptopenjdk.net/job/Test_openjdk11_j9_extended.functional_aarch64_linux/37/console

CODE",132,132,1,1,1,1,0,1605714410.0,1.0,0.5,1.0,0.25,0.0,1.0,0.0,4.921689213223237e-05,Solution Discussion
69,69,11218,comment,open,"and when terminated, output:
CODE","and when terminated, output:
CODE",34,34,1,1,1,0,0,1605714498.0,1.0,0.375,1.0,0.375,4.697085991901797e-05,0.999953029140081,4.921689213223237e-05,0.0160357583092655,Potential New Issues and Requests
70,70,11218,comment,open,"Happened on CODE, which is the same machine mentioned here: https://github.com/AdoptOpenJDK/openjdk-infrastructure/issues/1579","Happened on CODE, which is the same machine mentioned here: https://github.com/AdoptOpenJDK/openjdk-infrastructure/issues/1579",126,126,1,0,1,0,0,1605743170.0,1.0,0.6875,1.0,0.5,0.0153509310371699,0.98464906896283,0.0160357583092655,0.0002751671696483,Potential New Issues and Requests
71,71,11218,comment,open,@knn-k,@knn-k,6,6,1,0,0,0,0,1605743662.0,1.0,0.125,1.0,0.625,0.015613540844899,0.984386459155101,0.0002751671696483,0.0314574240326084,Social Conversation
72,72,11218,comment,open,"I ran CODE 10 + 10 times using two machines, and I could not recreate the issue.","I ran CODE 10 + 10 times using two machines, and I could not recreate the issue.",80,80,1,0,1,0,0,1605799908.0,1.0,1.0,0.5,0.75,0.0456353929699568,0.9543646070300432,0.0314574240326084,1.0,Solution Discussion
73,73,11218,comment,open,It takes 15 minutes for a single round of this test.,It takes 15 minutes for a single round of this test.,52,52,1,0,0,0,0,1605799908.0,0.6875,0.6875,1.0,0.875,0.0456353929699568,0.9543646070300432,0.0314574240326084,1.0,Solution Discussion
74,74,11218,comment,open,Possibly related to #10741 and #11177,Possibly related to #10741 and #11177,37,37,1,0,0,0,1,1607587912.0,1.0,0.375,1.0,1.0,1.0,0.0,1.0,0.0,Action on Issue
75,75,428,title,open,Change the  jvm default format for z/OS TDUMP names to avoid tdump-generation failures due to duplicate dataset names.,Change the  jvm default format for z/OS TDUMP names to avoid tdump-generation failures due to duplicate dataset names.,118,118,3,1,0,1,0,1508846194.0,0.3230769230769231,0.3230769230769231,0.0277777777777777,0.0277777777777777,0.0,1.0,,,Observed Bug Behaviour
76,76,428,body,open,Names of z/OS transaction dumps generated from multiple threads at the same instant in time should be appropriately differentiated.,Names of z/OS transaction dumps generated from multiple threads at the same instant in time should be appropriately differentiated.,131,131,3,1,0,1,0,1508846194.0,0.3076923076923077,0.3076923076923077,0.0555555555555555,0.0555555555555555,0.0,1.0,,,Observed Bug Behaviour
77,77,428,body,open,"The jvm default format (JAVA_DUMP_TDUMP_PATTERN) for z/os TDUMP names is as follows : ""%uid.JVM.%job.","The jvm default format (JAVA_DUMP_TDUMP_PATTERN) for z/os TDUMP names is as follows : ""%uid.JVM.%job.",101,101,3,1,0,1,0,1508846194.0,0.2307692307692307,0.2307692307692307,0.0833333333333333,0.0833333333333333,0.0,1.0,,,Observed Bug Behaviour
78,78,428,body,open,D%y%m%d.,D%y%m%d.,8,8,3,1,0,1,0,1508846194.0,0.0153846153846153,0.0153846153846153,0.1111111111111111,0.1111111111111111,0.0,1.0,,,Social Conversation
79,79,428,body,open,"T%H"" ""%M"" ""%S.X&DS""

For e.g. on a 54-core z/os box, 4 threads received s0c4 abends (i.e. gpfs) at the same instant in time.","T%H"" ""%M"" ""%S.X&DS""

For e.g. on a 54-core z/os box, 4 threads received s0c4 abends (i.e. gpfs) at the same instant in time.",126,126,3,1,0,1,0,1508846194.0,0.4,0.4,0.1388888888888889,0.1388888888888889,0.0,1.0,,,Observed Bug Behaviour
80,80,428,body,open,"While javacores were correctly generated with different names (javacore*.005.txt, javacore*.005.txt, etc),  the generation of TDUMPs failed due to duplicate dataset names being generated.","While javacores were correctly generated with different names (javacore*.005.txt, javacore*.005.txt, etc),  the generation of TDUMPs failed due to duplicate dataset names being generated.",187,187,3,1,0,1,0,1508846194.0,0.3692307692307692,0.3692307692307692,0.1666666666666666,0.1666666666666666,0.0,1.0,,,Motivation
81,81,428,body,open,"10.56.50 S0089639  JVMDUMP039I Processing dump event ""gpf"", detail """" at                
2017/01/27  316                                                                         
   316             15:56:50 - please wait.","10.56.50 S0089639  JVMDUMP039I Processing dump event ""gpf"", detail """" at                
2017/01/27  316                                                                         
   316             15:56:50 - please wait.",222,222,3,1,0,1,0,1508846194.0,0.3076923076923077,0.3076923076923077,0.1944444444444444,0.1944444444444444,0.0,1.0,,,Observed Bug Behaviour
82,82,428,body,open,"316                                                                                  
****10.56.50 S0089639","316                                                                                  
****10.56.50 S0089639",108,108,3,1,0,1,0,1508846194.0,0.0615384615384615,0.0615384615384615,0.2222222222222222,0.2222222222222222,0.0,1.0,,,Observed Bug Behaviour
